geoid10,class1,class1_lbl,class2,class2_lbl,class2_red,class3,class3_lbl,area_total,area_rated,area_U,area_A,area_B,area_C,area_D
01073000100,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",7549575.5,73.293701,26.706303,0,4.2614541,26.091936,42.940308
01073000300,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2093096.8,94.083206,5.9167924,0,0,.58638734,93.496819
01073000400,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",8001587.5,46.58691,53.41309,0,0,10.454468,36.132439
01073000500,D,Mainly D,D,Mainly D,Only D,D,Mainly D,4819156.5,65.387039,34.612961,0,0,0,65.387039
01073000700,D,Mainly D,D,Mainly D,Only D,D,Mainly D,3520562.8,41.288933,58.711067,0,0,0,41.288933
01073000800,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",10013120,56.810993,43.189007,0,0,8.0651484,48.745846
01073001100,D,Mainly D,D,Mainly D,Only D,D,Mainly D,11428318,24.149178,75.850822,0,0,0,24.149178
01073001200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",8580540,29.571718,70.428284,0,0,1.2834973,28.288219
01073001400,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2241290.3,99.705002,.29500172,0,0,3.3868356,96.318161
01073001500,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",1903847.9,99.992393,.0076058828,0,0,5.9180217,94.074371
01073001600,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2645526.3,87.567154,12.432843,0,0,41.855133,45.712025
01073001902,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",3341547.8,87.852699,12.1473,0,0,19.857599,67.995102
01073002000,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",3605021.5,55.387104,44.612896,0,4.9655309,32.717285,17.704288
01073002100,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B,"Mainly C, some B",2747976.5,73.181427,26.818571,0,.048809882,73.132622,0
01073002200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",1884662.8,100,0,0,.0036072824,45.563244,54.433151
01073002303,D,Mainly D,D,Mainly D,Only D,D,Mainly D,3208471,35.862064,64.137939,0,0,0,35.862064
01073002305,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",2145174.5,75.445152,24.55485,0,7.3849974,48.369671,19.690481
01073002306,B,Mainly B,B-C,"Mainly B, some C","Mainly B, some C or D",B-C-D,"Mainly B, some C, some D",4736338,33.345863,66.654137,5.4540806,15.642295,6.7707262,5.4787602
01073002400,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",8338980.5,52.848671,47.151329,0,1.1599329,6.1211758,45.567562
01073002700,D,Mainly D,D,Mainly D,Only D,D,Mainly D,4459953,31.340086,68.659912,0,0,0,31.340086
01073002900,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2334496.5,82.225296,17.774704,0,0,5.8926644,76.332634
01073003001,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B-D,"Mainly C, some B, some D",2438077.8,62.277599,37.722401,0,26.357286,33.433784,2.4865313
01073003002,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",1778282.4,88.319244,11.680754,0,25.158884,25.734005,37.426357
01073003100,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B-D,"Mainly C, some B, some D",2249501.8,99.796333,.2036683,0,20.253847,62.529575,17.012911
01073003200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",1158183.3,87.356232,12.643772,0,0,9.3716431,77.984589
01073003300,D,Mainly D,D,Mainly D,Only D,D,Mainly D,1964252,52.824314,47.175686,0,0,0,52.824314
01073003400,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D,"Mainly C, some D",2048617.3,75.733238,24.266766,0,0,43.516651,32.216583
01073003500,D,Mainly D,D,Mainly D,Only D,D,Mainly D,7394724,41.733871,58.266129,0,0,0,41.733871
01073003600,B,Mainly B,B-D,"Mainly B, some D","Mainly B, some C or D",B-D-C,"Mainly B, some D, some C",2316080.5,76.352409,23.647589,0,34.324139,13.589067,28.439205
01073003700,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",2419168,99.448311,.55169165,0,4.6425061,86.081093,8.7247066
01073003802,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",3245080,67.05938,32.940624,0,0,31.728701,35.330677
01073003803,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2701351.5,99.999832,.00017094398,0,0,18.343679,81.656151
01073003900,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2232732.8,78.970734,21.029266,0,0,.1092914,78.861443
01073004000,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",2364668.8,99.998596,.001405479,0,.089692667,65.073112,34.835789
01073004200,D,Mainly D,D-B,"Mainly D, some B","Mainly C or D, some B",D-B-C,"Mainly D, some B, some C",3056204.5,81.284729,18.715271,0,7.2325211,4.5451732,69.507034
01073004500,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",3020203.3,62.185829,37.814171,0,0,13.053329,49.132504
01073004701,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B-D,"Mainly C, some B, some D",1124483.8,97.141129,2.8588691,0,40.896286,52.187828,4.0570183
01073004702,B,Mainly B,B-A,"Mainly B, some A","Mainly B, some A",B-A-C,"Mainly B, some A, some C",2542333,83.720291,16.279707,21.995493,55.334736,6.3900652,0
01073004800,B,Mainly B,B-A,"Mainly B, some A","Mainly B, some A",B-A-C,"Mainly B, some A, some C",1253857.4,100,0,44.494877,51.206535,4.124352,.17423597
01073004901,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B-A,"Mainly C, some B, some A",959210.06,91.981216,8.0187855,20.918127,26.918755,44.144333,0
01073004902,C,Mainly C,C-B,"Mainly C, some B","Mainly C or D, some B",C-B-A,"Mainly C, some B, some A",1148581.1,98.322769,1.6772316,.47611499,2.4300931,95.416557,0
01073005000,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D-B,"Mainly C, some D, some B",2422843.5,70.035835,29.964167,0,16.618063,34.678982,18.738791
01073005101,D,Mainly D,D-B,"Mainly D, some B","Mainly C or D, some B",D-B,"Mainly D, some B",743008.69,100,0,0,.12428018,0,99.875717
01073005103,D,Mainly D,D,Mainly D,Only D,D,Mainly D,1738955.1,96.202347,3.7976565,0,0,0,96.202347
01073005104,D,Mainly D,D,Mainly D,Only D,D,Mainly D,1811281.1,4.007607,95.992393,0,0,0,4.007607
01073005200,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C-B,"Mainly D, some C, some B",4595605,48.058334,51.941666,0,.00077720796,7.8428845,40.214672
01073005302,B,Mainly B,B-C,"Mainly B, some C","Mainly B, some C or D",B-C,"Mainly B, some C",5024537,33.549503,66.4505,0,26.334539,7.214963,0
01073005500,D,Mainly D,D,Mainly D,Only D,D,Mainly D,8804210,50.405312,49.594688,0,0,0,50.405312
01073005600,C,Mainly C,C-D,"Mainly C, some D","Mainly C, some D",C-D,"Mainly C, some D",4275120.5,35.427979,64.572021,0,0,20.374115,15.053863
01073005701,D,Mainly D,D,Mainly D,Only D,D,Mainly D,3265325.3,63.708935,36.291065,0,0,0,63.708935
01073005702,D,Mainly D,D-C,"Mainly D, some C","Mainly D, some C",D-C,"Mainly D, some C",2791814,70.940346,29.059652,0,0,12.874021,58.066326
01073005905,D,Mainly D,D,Mainly D,Only D,D,Mainly D,5467657,16.220015,83.779984,0,0,0,16.220015
01073005909,D,Mainly D,D,Mainly D,Only D,D,Mainly D,4516003,12.460074,87.539925,0,0,0,12.460074
