year,statefips,countyfips,DS_PM_pred
2017,1,1,9.624306849315068
2017,10,1,7.657334931506849
2017,11,1,9.019774255758782
2017,12,1,7.846296281800391
2017,13,1,8.73701095890411
2017,16,1,9.069452704899002
2017,17,1,8.650472754946728
2017,18,1,8.638106066536204
2017,19,1,7.642146118721461
2017,20,1,7.876466301369863
2017,21,1,8.181592954990215
2017,22,1,8.5096100456621
2017,23,1,7.357992367906066
2017,24,1,7.42885122096486
2017,25,1,5.6562021037182
2017,26,1,6.211958356164384
2017,27,1,5.261604566210046
2017,28,1,8.297806697108067
2017,29,1,7.920047358121331
2017,30,1,7.415898630136986
2017,31,1,7.017195129375951
2017,32,1,5.92252133072407
2017,33,1,5.53941296803653
2017,34,1,7.331043557673218
2017,35,1,6.660288459127943
2017,36,1,6.776375525114155
2017,37,1,8.29627595129376
2017,38,1,5.29573698630137
2017,39,1,8.191687214611872
2017,4,1,4.829905993150685
2017,40,1,8.943569315068493
2017,41,1,7.473924200913242
2017,42,1,8.366207385348422
2017,44,1,6.209929514321295
2017,45,1,8.604683561643836
2017,47,1,8.353899086757991
2017,48,1,8.99553399750934
2017,49,1,4.724427397260274
2017,5,1,8.493568835616438
2017,50,1,5.597902739726027
2017,51,1,6.917208219178082
2017,53,1,10.652488219178082
2017,54,1,7.266715753424658
2017,55,1,6.342718982387476
2017,56,1,4.628254794520548
2017,6,1,10.596632770167428
2017,8,1,8.631532495410253
2017,9,1,6.936310684931507
2017,1,101,9.813053192834563
2017,12,101,8.405898221222654
2017,13,101,8.187646575342466
2017,17,101,9.011986849315068
2017,18,101,8.456559817351598
2017,19,101,7.964507534246575
2017,20,101,5.755301369863014
2017,21,101,9.098015193026152
2017,22,101,8.174656506849315
2017,26,101,5.938376560121766
2017,27,101,5.967549771689498
2017,28,101,9.133405479452055
2017,29,101,7.32600304414003
2017,30,101,7.113992694063927
2017,31,101,5.709558904109589
2017,36,101,6.08877296803653
2017,37,101,8.48187495890411
2017,38,101,5.626465331928346
2017,39,101,8.616834398782344
2017,40,101,9.332742294520548
2017,42,101,9.434226598173516
2017,46,101,5.713691780821918
2017,47,101,7.614806849315068
2017,48,101,6.868865753424658
2017,5,101,7.947624657534247
2017,51,101,7.726154109589041
2017,54,101,6.757453881278539
2017,55,101,7.616805479452055
2017,6,101,8.826404566210046
2017,8,101,5.629118057285181
2017,1,103,8.89757270421106
2017,12,103,8.196835144846171
2017,13,103,8.588130136986301
2017,17,103,8.380318721461187
2017,18,103,8.578980821917808
2017,19,103,8.07075901826484
2017,20,103,8.263633732876712
2017,21,103,8.437936438356164
2017,22,103,8.544452309652756
2017,26,103,5.442956164383562
2017,27,103,7.124511154598826
2017,28,103,9.147080365296804
2017,29,103,7.987701369863014
2017,30,103,6.579945205479452
2017,31,103,5.243778082191781
2017,36,103,6.550530630477325
2017,37,103,7.265180821917808
2017,38,103,5.998753424657534
2017,39,103,8.960025323954091
2017,40,103,8.195038356164384
2017,42,103,7.271589345509894
2017,46,103,6.215283978558666
2017,47,103,8.262610350076104
2017,48,103,7.345021917808219
2017,5,103,9.328897716894977
2017,51,103,7.224978082191781
2017,54,103,8.155756164383562
2017,55,103,6.786609315068493
2017,6,103,7.775317061021171
2017,8,103,5.565035616438356
2017,1,105,9.020778082191781
2017,12,105,8.427529549902153
2017,13,105,8.667479452054794
2017,17,105,8.491699726027397
2017,18,105,7.781923641184269
2017,19,105,7.779348493150685
2017,20,105,6.78014794520548
2017,21,105,8.642871232876712
2017,22,105,8.536362465753425
2017,26,105,6.088604452054794
2017,27,105,6.389123287671233
2017,28,105,9.282842808219178
2017,29,105,7.912835616438356
2017,30,105,5.898824657534247
2017,31,105,5.196956164383562
2017,36,105,6.630423173515982
2017,37,105,8.335907060063224
2017,38,105,5.56285988258317
2017,39,105,8.430208219178082
2017,40,105,8.60423904109589
2017,42,105,6.836425205479452
2017,46,105,5.288890410958904
2017,47,105,8.14510794520548
2017,48,105,7.514684931506849
2017,5,105,9.030577168949772
2017,51,105,7.922323744292237
2017,54,105,8.22028904109589
2017,55,105,7.89569978370584
2017,6,105,6.73185698630137
2017,8,105,4.630385388127854
2017,1,107,8.924773698630137
2017,12,107,7.65808992747784
2017,13,107,8.977
2017,17,107,9.081457876712329
2017,18,107,8.688948554033486
2017,19,107,7.918280821917808
2017,20,107,7.40725205479452
2017,21,107,8.732103652968036
2017,22,107,8.246318721461187
2017,26,107,6.582891407222914
2017,27,107,6.558886757990868
2017,28,107,8.470076712328767
2017,29,107,7.405376908023483
2017,30,107,6.073964383561644
2017,31,107,6.328736073059361
2017,36,107,6.781224383561644
2017,37,107,7.689537716894977
2017,39,107,8.887049619482496
2017,40,107,8.827373287671233
2017,42,107,8.90454205479452
2017,46,107,5.158038356164384
2017,47,107,8.202914520547945
2017,48,107,7.137992694063927
2017,5,107,8.384775799086758
2017,51,107,8.192057829293994
2017,54,107,8.65677291886196
2017,55,107,5.664609315068493
2017,6,107,14.931426238145416
2017,8,107,5.082710616438356
2017,1,109,9.254997260273973
2017,12,109,7.71389397260274
2017,13,109,8.805963470319635
2017,17,109,8.546043835616438
2017,18,109,8.457833087460485
2017,19,109,7.203175342465753
2017,20,109,5.573208219178082
2017,21,109,8.092904109589041
2017,22,109,8.178150945857795
2017,26,109,5.690878277886497
2017,27,109,7.41116803652968
2017,28,109,8.473876103500761
2017,29,109,8.090057925636008
2017,30,109,5.403679452054794
2017,31,109,8.338465753424658
2017,36,109,6.313795354377606
2017,37,109,8.94279497716895
2017,39,109,8.992427788649706
2017,40,109,8.702025225942136
2017,42,109,8.94112705479452
2017,46,109,6.328221917808219
2017,47,109,8.025737377690802
2017,48,109,6.063520547945206
2017,5,109,8.972877625570776
2017,51,109,7.581348858447489
2017,54,109,7.580748858447489
2017,55,109,6.86773698630137
2017,6,109,8.589591531755915
2017,8,109,4.394791780821918
2017,1,11,9.680398173515982
2017,12,11,8.125582582628164
2017,13,11,8.535159589041096
2017,16,11,7.448109589041096
2017,17,11,8.566685753424658
2017,18,11,8.969172876712329
2017,19,11,7.811903326810176
2017,20,11,7.655820273972603
2017,21,11,8.123152511415525
2017,22,11,8.822836007827789
2017,23,11,6.674735483870968
2017,24,11,7.718245357686454
2017,25,11,5.430107153729072
2017,26,11,6.55830904109589
2017,27,11,6.342843835616438
2017,28,11,8.394404109589041
2017,29,11,7.825721461187215
2017,30,11,6.248915068493151
2017,31,11,6.792793150684932
2017,32,11,4.841254794520548
2017,33,11,4.99599375597324
2017,34,11,7.836241498791297
2017,35,11,5.581846575342466
2017,36,11,6.211914924297044
2017,37,11,6.913044383561644
2017,38,11,5.381365753424658
2017,39,11,8.893665255292653
2017,4,11,5.66587397260274
2017,40,11,7.433345753424658
2017,41,11,6.591544151738672
2017,42,11,9.69069595129376
2017,45,11,8.540324657534247
2017,46,11,5.525225114155251
2017,47,11,8.86329935111752
2017,48,11,6.493665753424658
2017,49,11,8.541403500761035
2017,5,11,8.851728767123288
2017,50,11,5.622259452054794
2017,51,11,7.47694703196347
2017,53,11,8.49223854056902
2017,54,11,8.65966301369863
2017,55,11,6.970701369863014
2017,56,11,5.925239726027397
2017,6,11,7.291788493150685
2017,8,11,5.298484931506849
